Player ID,Player Name,Batting Style,Bowling Style,Playing Role,Test Batting Pos,ODI Batting Pos,T20I Batting Pos,Bowling Type
30938,Ashok Vinoo Mankad,Right hand Bat,Right arm Medium,,Middle Order,Tail,,Right-arm Pacer
28813,Karsan Devjibhai Ghavri,Left hand Bat,Left arm Medium,Allrounder,Tail,Tail,,Left-arm Pacer
719715,Washington Sundar,Left hand Bat,Right arm Offbreak,Bowling Allrounder,Tail,Middle Order,Tail,Spin
30178,Budhisagar Krishnappa Kunderan,Right hand Bat,Right arm Medium,,Openers,,,Right-arm Pacer
481896,Mohammed Shami Ahmed,Right hand Bat,Right arm Fast,Bowler,Tail,Tail,Tail,Right-arm Pacer
26802,Hemang Kamal Badani,Left hand Bat,Slow Left arm Orthodox,Middle order Batter,Middle Order,Middle Order,,Spin
26238,Pravin Kalyan Amre,Right hand Bat,Legbreak,Middle order Batter,Middle Order,Middle Order,,Spin
29725,Sunil Bandacharya Joshi,Left hand Bat,Slow Left arm Orthodox,Allrounder,Tail,Tail,,Spin
30745,Raman Lamba,Right hand Bat,Right arm Medium,Opening Batter,Top Order,Top Order,,Right-arm Pacer
26223,Nanik Amarnath Bharadwaj,Right hand Bat,Right arm Medium,,Middle Order,,,Right-arm Pacer
26179,Hemchandra Ramachandra Adhikari,Right hand Bat,Legbreak,,Middle Order,,,Spin
236779,Ishant Sharma,Right hand Bat,Right arm Fast medium,Bowler,Tail,Tail,Tail,Right-arm Pacer
30996,Vijaysingh Madhavji Merchant,Right hand Bat,Right arm Medium,,Openers,,,Right-arm Pacer
33949,Chetan Sharma,Right hand Bat,Right arm Fast medium,Bowler,Tail,Tail,,Right-arm Pacer
26295,Jagdishlal Arun Lal,Right hand Bat,Right arm Medium,Opening Batter,Openers,Openers,,Right-arm Pacer
452044,Gade Hanuma Vihari,Right hand Bat,Right arm Offbreak,Batting Allrounder,Middle Order,,,Spin
1170265,Namboori Thakur Tilak Varma,Left hand Bat,Right arm Offbreak,Batting Allrounder,,Top Order,Top Order,Spin
35656,Srinivasaraghavan Venkataraghavan,Right hand Bat,Right arm Offbreak,Bowler,Tail,Tail,,Spin
1060380,Ruturaj Dashrat Gaikwad,Right hand Bat,Right arm Offbreak,Batter,,Openers,Openers,Spin
31021,Rusitomji Sheriyar Modi,Right hand Bat,Right arm Medium,,Top Order,,,Right-arm Pacer
32357,Erapalli Anantharao Srinivas Prasanna,Right hand Bat,Right arm Offbreak,Bowler,Tail,,,Spin
